Status,Brand,Model,CPU,RAM,Storage,Storagetype,GPU,Screen,Touch,FinalPrice
New,HP,15S,AMD Ryzen 3,8,512,SSD,RTX 3050,15.6,No,479.0
New,HP,255,AMD 3020e,8,256,SSD,RTX 3050,15.6,No,339.0
New,Lenovo,IdeaPad,AMD Ryzen 5,16,512,SSD,GTX 1650,15.6,No,779.01
New,Medion,Akoya,AMD Ryzen 5,4,256,SSD,RTX 3050,14.0,No,499.0
New,Asus,VivoBook,Intel Core i3,8,256,SSD,RTX 3050,14.0,No,459.0
New,MSI,Modern,Intel Core i7,16,1000,SSD,RTX 3050,14.0,No,999.0
Refurbished,Asus,ROG,AMD Ryzen 7,16,1000,SSD,RTX 3060,15.6,No,1899.0
New,MSI,Modern,Intel Core i5,16,512,SSD,RTX 3050,15.6,No,819.0
New,HP,15S,AMD Ryzen 7,12,512,SSD,RTX 3050,15.6,No,749.0
New,Lenovo,IdeaPad,Qualcomm Snapdragon 7,8,128,eMMC,RTX 3050,13.3,Yes,599.0
New,Acer,Nitro,AMD Ryzen 5,16,1000,SSD,RTX 3050,15.6,No,1199.0
New,Lenovo,V15,Intel Core i3,8,512,SSD,RTX 3050,15.6,No,449.0
New,MSI,Prestige,Intel Core i7,32,1000,SSD,RTX 4060,16.0,No,1999.0
New,HP,15S,AMD 3020e,4,128,SSD,RTX 3050,15.6,No,379.0
New,Lenovo,IdeaPad,Intel Core i3,8,256,SSD,RTX 3050,15.6,No,529.0
New,LG,Gram,Intel Evo Core i7,16,512,SSD,RTX 3050,17.0,No,1799.0
New,MSI,Prestige,Intel Core i7,32,1000,SSD,RTX 4050,16.0,No,1999.0
New,Asus,E410,Intel Celeron,4,64,eMMC,RTX 3050,14.0,No,349.0
New,HP,Omen,Intel Core i7,32,1000,SSD,RTX 4060,17.3,No,1799.0
New,Medion,Akoya,Intel Core i5,8,512,SSD,RTX 3050,16.1,No,499.0
New,Lenovo,V15,AMD Ryzen 3,8,256,SSD,RTX 3050,15.6,No,399.0
New,Asus,ZenBook,AMD Ryzen 7,16,512,SSD,RTX 3050,14.0,No,1149.0
Refurbished,Alurin,Flex Advance,Intel Core i5,8,0,SSD,RTX 3050,14.0,No,368.7
New,Acer,Aspire,Intel Core i3,8,512,SSD,RTX 3050,15.6,No,499.0
New,Asus,Chromebook,Intel Core i3,8,256,SSD,RTX 3050,15.6,Yes,699.0
New,MSI,Stealth,Intel Core i7,32,1000,SSD,RTX 4070,17.3,No,2949.0
New,Asus,VivoBook,Intel Core i5,16,512,SSD,RTX 3050,17.3,No,899.0
New,HP,Victus,AMD Ryzen 7,16,512,SSD,RTX 3050,16.1,No,1099.0
New,MSI,Pulse,Intel Core i7,16,1000,SSD,RTX 4070,17.3,No,2099.0
New,Asus,ExpertBook,Intel Core i7,16,512,SSD,RTX 3050,15.6,No,1049.0
New,Medion,Akoya,AMD Ryzen 7,8,512,SSD,RTX 3050,15.6,No,499.0
New,Asus,VivoBook,Intel Core i5,8,512,SSD,RTX 3050,14.0,No,719.01
New,Razer,Blade,Intel Core i7,16,1000,SSD,RTX 3060,15.6,No,2799.99
New,Apple,MacBook Air,Apple M1,8,256,SSD,RTX 3050,13.3,No,1219.0
New,Asus,Chromebook,Intel Celeron,8,64,eMMC,RTX 3050,17.3,No,429.0
New,Asus,VivoBook,Intel Core i3,8,512,SSD,RTX 3050,15.6,No,499.0
New,HP,Omen,Intel Core i7,16,1000,SSD,RTX 3060,16.1,No,1599.0
New,Lenovo,IdeaPad,AMD Ryzen 7,16,512,SSD,RTX 3050,15.6,No,1079.01
New,Asus,ZenBook,AMD Ryzen 5,16,512,SSD,RTX 3050,14.0,No,999.0
New,MSI,Bravo,AMD Ryzen 5,8,512,SSD,RX 6500M,15.6,No,869.0
New,Asus,TUF,Intel Core i7,16,512,SSD,RTX 3050,15.6,No,1299.0
New,MSI,Stealth,Intel Core i7,16,1000,SSD,RTX 4060,15.6,No,1799.0
New,MSI,Katana,Intel Core i7,16,512,SSD,RTX 3060,15.6,No,1299.0
New,MSI,Modern,Intel Core i7,16,1000,SSD,RTX 3050,15.6,No,1169.01
New,Asus,Chromebook,Intel Core i5,8,256,SSD,RTX 3050,14.0,Yes,899.0
New,Lenovo,ThinkBook,Intel Core i5,16,512,SSD,RTX 3050,16.0,No,1089.0
New,Asus,ZenBook,AMD Ryzen 7,16,512,SSD,RTX 3050,14.0,No,1199.0
New,Gigabyte,Aero,Intel Core i7,16,2000,SSD,RTX 3070,16.0,No,2899.0
New,Apple,MacBook Air,Apple M2,8,256,SSD,RTX 3050,15.3,No,1599.0
New,Lenovo,IdeaPad,AMD Ryzen 3,8,256,SSD,RTX 3050,15.6,No,499.0
New,Acer,Nitro,Intel Core i7,16,512,SSD,RTX 3060,15.6,No,1499.0
New,MSI,Prestige,Intel Core i7,16,1000,SSD,RTX 4050,16.0,No,1899.0
New,Asus,ZenBook,Intel Evo Core i7,16,512,SSD,RTX 3050,13.3,No,1199.0
New,MSI,Bravo,AMD Ryzen 7,16,512,SSD,RX 6500M,15.6,No,999.0
New,Asus,TUF,AMD Ryzen 7,16,512,SSD,RTX 4050,15.6,No,1139.01
New,HP,Chromebook,Intel Celeron,4,64,eMMC,RTX 3050,15.6,No,376.0
New,HP,Omen,Intel Core i7,32,1000,SSD,RTX 4070,17.3,No,1999.0
New,Lenovo,Yoga,Intel Evo Core i5,16,512,SSD,RTX 3050,14.5,No,1529.0
New,Asus,ExpertBook,Intel Core i5,16,512,SSD,RTX 3050,15.6,No,799.0
